feature,score
n_characters,0.007912840716575675
activity_Input_per_s,0.007695890313298781
word_count_delta,0.0075635768693638195
latency_time_1.0,0.007368346930993042
word_count_delta_per_s,0.007010966005850538
n_thought_delimiting_punctuation,0.006529005546056066
vocab12047,0.006299078820407744
n_commas,0.006266158491179019
cursor_position_vs_max_4.0,0.006121366754116097
cursor_position_delta_2.0,0.005914929639044097
keystroke_speed,0.005782283763120333
vocab0,0.0056181677714254976
latency_time_mean,0.005248562461445561
vocab10215,0.005237034102569038
activity_Input,0.005122245055604968
latency_time_3.0,0.005038364646220516
word_count_delta_burst_thin_1.0,0.0050135808570997975
activity_streak_length_thin_0.0,0.004855730336532504
preceding_pause_time_0.0,0.00483924238487885
vocab15304,0.004825732821347817
word_count_delta_activity_streak_thin_1.0,0.004799887049833251
vocab13729,0.004765735091023182
preceding_pause_time_p50,0.004675447012868572
event46,0.004507571333503923
latency_time_4.0,0.004448146443682388
vocab16789,0.004443781966039095
latency_time_p50,0.004441944421502942
word_count_delta_frac_total_entropy,0.004429018835790388
n_sentences,0.004178374566108945
vocab8374,0.004143332972047742
vocab944,0.004081114753535564
vocab4322,0.003891418710920891
vocab2169,0.003714567255361567
vocab6413,0.0037143472090096054
vocab1449,0.003626312468497939
is_new_activity_streak_start_Nonproduction,0.0036085145885609514
word_count_delta_activity_streak_thin_0.0,0.0035838885218254513
vocab8375,0.003524513918670258
is_new_activity_streak_start_Nonproduction_frac_total_entropy,0.0034919982452329855
words_length_geq8_lt25_frac,0.0034165871454396425
latency_time_0.0,0.003400553461254896
preceding_pause_time_lognorm_scale,0.0033700369921737085
vocab575,0.0033283103089415842
n_sentences_words_geq25_lt30,0.003312696917788993
vocab1122,0.0031108298144527867
latency_time_5.0,0.0030816054989496024
vocab10216,0.003002683332364664
vocab6414,0.0029463622660862443
is_new_activity_streak_start_Nonproduction_per_s,0.002925917530030331
word_count_delta_burst_thin_mean,0.0028645171729591913
vocab16956,0.002786804811317478
cursor_position_vs_max_1.0,0.0027751306548580825
vocab11230,0.0027493293201067857
n_dashes,0.002740057786315364
n_sentences_words_geq30_lt50,0.002703083361797698
vocab1602,0.00269833515301614
latency_time_lognorm_scale,0.0026795020652413903
vocab761,0.002660626003179134
is_new_activity_streak_start_Input_per_s,0.0026517614876399474
vocab14064,0.0025823760129504826
is_new_activity_streak_start_Input,0.0025349398243737164
latency_time_6.0,0.0025133344450595898
latency_time_2.0,0.002503328635941382
cursor_position_vs_max_3.0,0.002458578790328936
event9,0.002458127560309653
vocab12048,0.0024539863914642356
vocab4525,0.002428569350341925
vocab6608,0.0023924119997783544
words_length_mean,0.0023888945205930547
vocab10918,0.0023887303858141974
vocab6974,0.002375769363189151
activity_Remove/Cut,0.002363903509907783
vocab2540,0.002363744212548702
vocab4323,0.0023237269384770664
latency_time,0.0022731124525918523
vocab18206,0.00227208286966083
vocab5264,0.0022684591922361498
vocab13901,0.0022572780026040686
vocab3272,0.002252566130720046
words_length_stddev,0.002250907120724022
n_sentences_words_geq15_lt20,0.0022370840248909342
word_count_delta_burst_thin_stddev,0.002220683709284388
vocab2916,0.0022182209001142318
n_sentences_words_geq20_lt25,0.00219974634389557
vocab17132,0.0021996776075351
vocab5436,0.0021823004706228223
vocab10400,0.0021674589291740486
is_new_activity_streak_start_Remove/Cut,0.0020979149446124666
n_sentences_words_geq5_lt10_frac,0.0020975331259424747
vocab1291,0.002088194880757044
vocab5093,0.002087260133753799
activity_Input_frac_total_entropy,0.0020829496552152937
vocab186,0.0020709194421587585
is_new_activity_streak_start_Input_frac_total_entropy,0.0020545237389757443
cursor_position_delta_1.0,0.0020430157422616445
cursor_position_vs_max_2.0,0.002040208913794772
vocab10755,0.0020389715468085434
vocab8565,0.0020318608771931366
event18,0.001986811561545454
vocab10578,0.001983472954394694
vocab2170,0.0019578733287993755
vocab15467,0.0019466409525158656
vocab4716,0.0019353708893571798
vocab8937,0.0018987938082521527
vocab12867,0.0018961956638256395
vocab11074,0.0018930971276948539
n_apostrophe,0.0018909900376273604
cursor_position_delta_stddev,0.0018796493256399538
n_sentences_words_geq25_lt30_frac,0.001879537839988199
i_words_by_sentence_stddev,0.0018583213667265452
pause_time_fraction,0.0018450194747526183
is_new_activity_streak_start_Remove/Cut_per_s,0.0018445538449721078
i_words_by_sentence_p50,0.0018399285966520073
activity_Remove/Cut_per_s,0.0018379226424078076
activity_Replace_frac_total_entropy,0.0018321764626711534
n_sentences_words_geq30_lt50_frac,0.001823063888744403
vocab7144,0.0018223416507180846
vocab19262,0.0018221104670507414
i_words_by_sentence_mean,0.001802327220028288
vocab2732,0.0017984641465724315
vocab6797,0.0017814812031250239
activity_Nonproduction_frac_total_entropy,0.0017731412663891
vocab7299,0.0017717987136466329
cursor_position_vs_max_stddev,0.001757188018370792
vocab383,0.0017331885662469348
words_per_thought_delimiting_punctuation_avg,0.0017173771783768111
words_length_geq4_lt5_frac,0.0016912219244930027
vocab3605,0.001673027713626607
vocab16790,0.0016711149078381337
activity_Remove/Cut_frac_total_entropy,0.0016522343458505117
vocab14229,0.0016352690646102674
vocab12407,0.0016141913015490284
vocab15305,0.001614138652421837
vocab13730,0.0016050301284279422
vocab2352,0.0016047032088478464
vocab3440,0.001576090320707979
vocab12231,0.001516042866207723
vocab7608,0.001513493995964299
n_paragraphs_with_n_sentences_geq0_lt2_frac,0.0015109606504635
event45,0.0014982891980378054
vocab5897,0.0014978071435295614
vocab8751,0.0014693869646948965
n_questions,0.0014587237164761068
cursor_position_vs_max_mean,0.0014551472882681216
latency_time_stddev,0.001429024096352749
vocab1,0.0014264604888536425
n_sentences_words_geq20_lt25_frac,0.0014141363181705113
words_length_geq3_lt4_frac,0.0013966599579032346
vocab10579,0.001381678581272716
preceding_pause_time,0.0013806484358510397
n_paragraphs,0.0013774226643296528
vocab12727,0.0013682504663913963
preceding_pause_time_lognorm_shape,0.0013579246000792855
vocab9259,0.001355998519510937
word_count_delta_burst_thin_p50,0.001353693882718443
vocab3092,0.0013336326528045506
word_count_delta_activity_streak_thin_mean,0.0013332788461701607
latency_time_9.0,0.0013298141286101294
vocab576,0.001299874549964919
words_length_geq0_lt2_frac,0.0012886846979764499
vocab11370,0.0012592059116919962
vocab15797,0.001248663823964513
vocab384,0.0012455002639117697
